Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
DNR,NIST5,PoW/PoS,4171382.0,10000000.0
DP,X11,PoW,35138975.0,100000000.0
VUC,NIST5,PoW/PoS,62942075.0,120000000.0
BTPL,Skein,PoW/PoS,6804362.0,100000000.0
UNIFY,Scrypt,PoW,18133195.0,19276800.0
BRIT,X13,PoW/PoS,21268092.0,30000000.0
SOCC,Scrypt,PoW,5167775.0,75000000.0
ARC,X11,PoW,26042364.37,60000000.0
DAS,X11,PoW,2622886.0,18900000.0
LINDA,Scrypt,PoW/PoS,9044930943.0,50000000000.0
XLC,CryptoNight,PoW,14161803.0,54000000.0
ONION,X13,PoW/PoS,21917018.05,18898187.62
BTX,Time Travel,PoW,17801865.16,21000000.0
GCN,Scrypt,PoW,163055000000.0,200000000000.0
SMART,Keccak,PoW,2241009149.0,5000000000.0
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0
ONX,X11,PoW,122475638.4,1100000000.0
CRM,Skein,PoW/PoS,47331802.48,100000000.0
BCH,SHA-256,PoW,17995589.65,21000000.0
XMCC,X11,PoW/PoS,12569262.54,9507271.0
DFT,Scrypt,PoS,18663297.35,17405891.2
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0
SOJ,Scrypt,PoW,485214.0,10500000000.0
STCN,PoS,PoS,4000000.0,61599965.0
NYC,Scrypt,PoW,143007000000.0,0.0
FRAZ,Scrypt,PoW,9704042.0,20000000.0
KRONE,Scrypt,PoW,17453749.4,84000000.0
ACC,Scrypt,PoW,32646731.06,100000000.0
LINX,Scrypt,PoW,33716526.0,100000000.0
XCXT,Scrypt,PoW/PoS,19539588.0,48252000.0
ETHD,Scrypt,PoW/PoS,4200000.0,4200000.0
SUMO,CryptoNight,PoW,8946653.0,88888888.0
ODN,SHA-512,PoS,25000000.0,91388946.0
ADA,Ouroboros,PoS,25927070538.0,45000000000.0
REC,X11,PoW/PoS,7262402.043,27000000.0
BTCZ,Equihash,PoW,5211553258.0,21000000000.0
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000.0
ELM,X11,PoW,2702855669.0,1800000000.0
TER,Scrypt,PoW/PoS,1140734.917,15733333.0
VIVO,NeoScrypt,PoW,4165967.575,27000000.0
RUP,Lyra2REv2,PoS,24000000.0,24000000.0
BTG,Equihash,PoW,17202361.09,21000000.0
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000.0
MAY,SHA-256,PoW/PoS,92050800.0,100000000.0
NAMO,NIST5,PoW/PoS,560563220.0,1200000000.0
LUX,PHI1612,PoW/PoS,8305775.318,60000000.0
PIRL,Dagger,PoW,33986980.0,156306732.7
XIOS,Scrypt,PoW/PoS,2149688.0,21000000.0
BTDX,Quark,PoW/PoS,30711550.53,200000000.0
EBST,Scrypt,PoW,99990001.49,100000000.0
KEK,POS 2.0,PoS,12330806.31,21000000.0
BLHC,Scrypt,PoW/PoS,16362544.99,14788275.99
XIN,SHA-256,PoS,8999999990.0,9000000000.0
PURA,X11,PoW,175215859.0,350000000.0
INN,NeoScrypt,PoW,6375259.04,45000000.0
ELLA,Ethash,PoW,12756367.0,280000000.0
GBX,NeoScrypt,PoW,5832306.875,31800000.0
MAG,X11,PoW/PoS,38198594.83,144000000.0
TAU,DPoS,DPoS,288090567.5,500000000.0
ECA,NIST5,PoW/PoS,28399150208.0,30000000000.0
BCD,X13,PoW/PoS,183534024.9,210000000.0
XSH,Multiple,PoW,481730566.6,660000000.0
CNBC,Scrypt,PoW/PoS,110976977.3,210000000.0
XUN,CryptoNight,PoW,19281821413.0,85000000000.0
COAL,CryptoNight,PoW,4500000.0,12500000.0
DAXX,Ethash,PoW,520891780.0,10000000000.0
BWK,NIST5,PoS,13247178.88,27716121.0
KLKS,Quark,PoS,16955764.9,20000000.0
AC3,X11,PoW,80316207.0,550000000.0
LTHN,CryptoNight-V7,PoW,441250233.4,999481516.0
GER,Scrypt,PoW/PoS,4911500269.0,50000000000.0
LTCU,Scrypt,PoW/PoS,8419402.321,150000000.0
POP,Scrypt,PoW,3964201249.0,4999999999.0
PNX,X11,PoW/PoS,45174214.11,50000000.0
PHO,BLAKE256,PoW,30089671531.0,90000000000.0
SUCR,X11,PoW,4229040.504,19800000.0
SPK,NeoScrypt,PoW,7847417.334,21000000.0
WAGE,Quark,PoS,27299680.0,120000000.0
GUN,NeoScrypt,PoW,299797953.0,500000000.0
IRL,Scrypt,PoW,45483049.34,64000000.0
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0
LCP,Scrypt,PoW/PoS,2504486.228,4000000.0
MONK,X11,PoS,4407252.0,21000000.0
PCOIN,X11,PoW,8478104.34,23000000.0
UBTC,SHA-256,PoW,20166000.0,20166000.0
ITZ,C11,PoW,11916588.09,23000000.0
TPAY,POS 3.0,PoS,20445861.53,25000000.0
MCT,Ethash,PoS,1618033.0,1618033.0
MBC,Scrypt,PoW and PoS,9399342.528,30000000.0
TRTL,CryptoNight,PoW,53139835214.0,1000000000000.0
MUN,SkunkHash,PoW,4818338.989,16600000.0
USX,Scrypt,PoW/PoS,234846265.8,232000000.0
NBR,CryptoNight,PoW,133932467.8,336000000.0
SSS,Scrypt,PoW,10000000000.0,10000000000.0
TRF,Dagger,PoW,107325266.0,100000000.0
KREDS,Lyra2REv2,PoW,643795911.5,1100000000.0
TOKC,X13,PoS,230298925.0,800000000.0
BBP,Proof-of-BibleHash,POBh,1772091550.0,5200000000.0
LCC,SHA-256 + Hive,PoW + Hive,638382332.2,840000000.0
FLIP,Scrypt,PoW,12446100.0,40000000.0
LOT,Scrypt,PoW,14491014421.0,18406979840.0
CIF,X11,PoW,211297638.5,500000000.0
SPD,C11,PoW/PoS,11251342.19,19340594.0
POA,Proof-of-Authority,PoA,204479039.0,252460800.0
PUSHI,X11,PoW/PoS,2167827.1,25000000.0
ELP,XEVAN,PoW/PoS,419275.38,60000000.0
VLX,Scrypt,PoS,25570013.13,124000000.0
ONT,VBFT,PoS,650848625.0,1000000000.0
CLO,Ethash,PoW,247612453.0,6500000000.0
TUBE,CryptoNight,PoW,80049082.91,1000000000.0
PSD,Scrypt,PoW,4070212.149,21000000.0
ADK,IMesh,PoW,25000000.0,25000000.0
BSX,NIST5,PoW/PoS,13787854.63,50000000.0
BRIA,Scrypt,PoW/PoS,845637.8135,3000000.0
IC,Scrypt,PoW/PoS,1182153.5,5000000.0
BTL,Equihash,PoW,71355477.0,70000000.0
MEDIC,Scrypt,PoS,267297676.3,500000000.0
ALPS,Lyra2Z,PoW,27340501.65,300000000.0
BITG,Green Protocol,PoS,9803691.362,21000000.0
DEV,PoS,PoS,21876586.85,88000000.0
ABJ,Scrypt,PoW/PoS,9880502.372,30000000.0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000.0
FTO,X11,PoW,31801461.19,100000000.0
CARE,Quark,PoW/PoS,139739596.5,200000000.0
NZL,PoS,PoS,11075254.09,80000000.0
XMC,CryptoNight,PoW,16016864.0,18400000.0
PROTON,X16R,PoS,4403800.0,45000000.0
DEAL,Scrypt,PoW/PoS,1404157529.0,5121951220.0
JUMP,NIST5,PoW,21069346.25,21000000.0
INFX,Lyra2RE,PoW,5097689.711,26280000.0
XBI,XEVAN,PoS/PoW,10904963.09,21000000.0
KEC,Tribus,PoW,795447.0,18000000.0
HWC,Scrypt,PoS,38706809.47,26000000.0
GIN,Lyra2Z,PoW,6986399.704,10500000.0
PLTC,CryptoNight,PoW,84300.0,600000518.0
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000.0
NCP,CryptoNight,PoW,41294520017.0,184000000000.0
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000.0
XT3,Scrypt,PoS,7630000.015,44000000.0
MGD,Jump Consistent Hash,PoW,135862416.0,168000000.0
VIG,SHA-256D,PoW/PoS,33238183.72,100000000.0
PLURA,CryptoNight,PoW,560085952.4,1000000000.0
EMAR,Scrypt,PoW/PoS,21599339.67,84000000.0
DKD,X15,PoS,30284196.37,90000000.0
LYNX,Scrypt,HPoW,77872059788.0,92000000000.0
POSQ,Quark,PoS,2716264.953,650000000.0
BWS,SHA-256,PoS,57811001.0,100262205.0
MUSE,DPoS,PoS,18194936.0,18081806.0
XMN,X16R,PoW,8125865.021,22075700.0
PLUS1,HMQ1725,PoW,8645406.168,21000000.0
AXE,X11,PoW,4993030.697,21000000.0
TRVC,X16R,PoW/PoS,36923120.62,82546564.0
DTEM,Quark,PoS,7082392.247,21000000.0
GIC,Quark,PoW/PoS,5919489.768,5151000.0
PNY,Scrypt,PoS,1042012.452,16880000000.0
ABS,Lyra2REv2,PoW/PoS,13332617.94,52500000.0
VITAE,Quark,PoS,66053877.63,100000000.0
HEX,Scrypt,PoW,1416663.066,22105263.0
TPC,Scrypt,PoW/PoS,5403802.496,1000000000.0
WEBC,CryptoNight-V7,PoW,15580199.31,1750000000.0
RYO,Cryptonight-GPU,PoW,4890897.0,88188888.0
URALS,XEVAN,PoW,14746153.1,210000000.0
QWC,CryptoNight Heavy,PoW,99553110529.0,184470000000.0
ARE,X11,PoS,19269509.94,55000000.0
EUNO,X11,PoW/PoS,30771125.98,50000000.0
MMO,Scrypt,PoS,107763867.9,260000000.0
KETAN,PoS,PoS,9327131.597,210000000.0
PPAI,SHA-256,PoW,2100000000.0,2100000000.0
XDNA,Keccak,PoW/PoS,4672513.844,366000000.0
PAXEX,X11,PoS,4504639.0,100000000.0
AZART,X11,PoW,5015881.373,25000000.0
TSC,Scrypt,PoW/PoS,1059954080.0,18000000000.0
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000.0
XCG,X16R,PoW,9753753.615,100000000.0
AAC,ECC 256K1,DPOS,1000000000.0,1000000000.0
CRYP,Equihash,PoW,4235111504.0,7600000000.0
BTXC,XEVAN,PoS,6787405.18,50000000.0
ACM,Lyra2Z,PoW,13634850.0,84000000.0
BSV,SHA-256,PoW,17992514.65,21000000.0
BITM,XEVAN,Pos,208515864.4,70000000000.0
JMC,X11,PoS,17209923728.0,0.0
FRED,CryptoNight,PoW,1867054873.0,8080000000.0
HERB,Quark,PoW/PoS,35312185.74,54000000.0
UMO,Blake,PoW,1578281.313,105120001.4
LIT,Blake,PoW,15846721.25,25228800.0
PIRATE,Equihash,PoS,13475920.0,105000000.0
EXO,Exosis,PoW,406091.925,21000000.0
BLTG,Scrypt,PoW,35284717.17,120000000.0
OWC,Scrypt,PoW/PoS,14777549.39,21000000.0
BEAM,Equihash,PoW,35687520.0,262800000.0
GALI,Quark,PoW/PoS,18265011.25,19035999.0
BTH,Equihash,PoW,25150787.5,30886000.0
CSPN,Quark,PoS,1934701.675,13370000.0
CREDIT,Scrypt,PoW/PoS,30825710000.0,74800000000.0
SLC,QuBit,PoW,12925790.42,100000000.0
DASHP,X11,PoS,715659.4424,19700000.0
NSD,Scrypt,PoW/PoS,20546528.21,84000000.0
BEET,XEVAN,PoW/PoS,198938144.4,500000000.0
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000.0
AWR,X11,PoW/PoS,15420234.54,420000000.0
BLAST,SHA-256,PoW,52293836.63,64000000.0
XRC,X13,PoW,1170292.5,2100000.0
GLT,SHA-256,PoW,84613100.0,168000000.0
INSN,X11,PoW/PoS,23775960.32,30000000.0
ALX,DPoS,DPoS,1000000000.0,1000000000.0
LDOGE,Scrypt,PoW/PoS,15318887081.0,35000000000.0
SLR,Scrypt,PoW,55565076.39,98100000000.0
TRK,X11,PoW/PoS,242574105.2,0.0
UFO,NeoScrypt,PoW,3824685012.0,4000000000.0
OC,Scrypt,PoW/PoS,3537150.0,200000000.0
BLC,Blake,PoW,23356790.15,7000000000.0
BITS,Scrypt,PoW/PoS,20576532.0,54256119.0
NEOS,SHA-256,PoS,4392258.246,21000000.0
HYPER,Scrypt,PoW/PoS,9631199.993,0.0
PINK,X11,PoW/PoS,436353624.5,500000000.0
CESC,Scrypt,PoW,780210700.0,1000000000.0
ADC,Scrypt,PoW/PoS,980732529.0,10500000000.0
NKA,SHA-256,PoW/PoS,17939725045.0,190000000.0
PIGGY,X11,PoW/PoS,494240666.0,1000000000.0
CRW,SHA-256,PoW,22986929.09,42000000.0
GEN,Scrypt,PoW/PoS,60000000.0,15000000.0
SMLY,Scrypt,PoW,29583989323.0,50000000000.0
MI,Scrypt,PoW/PoS,404316475.5,400000000.0
GRS,Groestl,PoW,73298203.89,105000000.0
CPC,X11,PoW/PoS,201364327.4,208000000.0
CLUB,Scrypt,PoW/PoS,103621876.2,160000000.0
RADS,PoS,PoS,3821245.742,9000000.0
BTA,Scrypt,PoW,5052555.92,5000000.0
PAK,Scrypt,PoW,69684455.44,182000000.0
CRB,X11,Proof of Trust,16901016.66,16504333.0
OK,SHA-256,PoW/PoS,74676064.95,105000000.0
LSK,DPoS,DPoS,120012140.0,159918400.0
XHI,Scrypt,PoS,10000244678.0,10008835635.0
XWC,Scrypt,PoW/PoS,252005564.2,300000000.0
FSC,NeoScrypt,PoW/PoS,1120385.005,60168145.0
J,Multiple,PoW,3332922.5,2800000.0
TRI,X13,PoW/PoS,140777.7534,120000.0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000.0
EOS,DPoS,DPoS,1020544523.0,0.0
RCC,Ethash,PoW,24487944.1,24487944.0
OXY,DPoS,DPoS,1122382283.0,0.0
TCH,SHA-256,PoS,1000000000.0,1000000000.0
WAVES,Leased POS,LPoS,100000000.0,100000000.0
PART,PoS,PoS,9283137.556,8634140.0
BTT,TRC10,DPoS,989989000000.0,990000000000.0
NXT,PoS,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,SHA-256,DPoS,1999999995.0,2000000000.0
GAP,Scrypt,PoW/PoS,14931046.15,250000000.0
BDX,CryptoNight,PoW,980222595.0,1400222610.0
ZEN,Equihash,PoW,7296537.5,21000000.0
XBC,Scrypt,PoS,128326.9963,1000000.0
